20:00:11.598997 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 52129:53577, ack 1, win 1358, options [nop,nop,TS val 167740 ecr 4294907688], length 1448
20:00:11.614362 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 53577:55025, ack 1, win 1358, options [nop,nop,TS val 167750 ecr 4294907849], length 1448
20:00:11.696474 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 20273, win 930, options [nop,nop,TS val 4294908157 ecr 167546,nop,nop,sack 1 {21721:46337}], length 0
20:00:11.696727 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 46337:47785, ack 1, win 1358, options [nop,nop,TS val 168255 ecr 4294908157], length 1448
20:00:11.696765 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 47785:49233, ack 1, win 1358, options [nop,nop,TS val 168255 ecr 4294908157], length 1448
20:00:11.778201 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 55025:56473, ack 1, win 1358, options [nop,nop,TS val 167932 ecr 4294907872], length 1448
20:00:11.801577 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 56473:57921, ack 1, win 1358, options [nop,nop,TS val 167942 ecr 4294907945], length 1448
20:00:11.891030 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 20273, win 953, options [nop,nop,TS val 4294908268 ecr 167546,nop,nop,sack 2 {49233:50681}{21721:46337}], length 0
20:00:11.891318 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 57921:59369, ack 1, win 1358, options [nop,nop,TS val 168450 ecr 4294908268], length 1448
20:00:11.905443 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 46337, win 975, options [nop,nop,TS val 4294908360 ecr 167658,nop,nop,sack 1 {49233:50681}], length 0
20:00:11.905674 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 59369:60817, ack 1, win 1358, options [nop,nop,TS val 168464 ecr 4294908360], length 1448
20:00:11.981906 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 46337, win 998, options [nop,nop,TS val 4294908459 ecr 167658,nop,nop,sack 1 {49233:52129}], length 0
20:00:11.987631 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 46337, win 1020, options [nop,nop,TS val 4294908481 ecr 167658,nop,nop,sack 1 {49233:53577}], length 0
20:00:11.987912 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 60817:62265, ack 1, win 1358, options [nop,nop,TS val 168546 ecr 4294908481], length 1448
20:00:12.076304 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 46337, win 1043, options [nop,nop,TS val 4294908557 ecr 167658,nop,nop,sack 1 {49233:55025}], length 0
20:00:12.076602 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 62265:63713, ack 1, win 1358, options [nop,nop,TS val 168635 ecr 4294908557], length 1448
