20:03:02.397073 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2768577:2770025, ack 1, win 1358, options [nop,nop,TS val 338952 ecr 111566], length 1448
20:03:02.413300 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2746857, win 2071, options [nop,nop,TS val 111662 ecr 337133,nop,nop,sack 2 {2755545:2764233}{2748305:2754097}], length 0
20:03:02.413568 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2770025:2771473, ack 1, win 1358, options [nop,nop,TS val 338972 ecr 111662], length 1448
20:03:02.418830 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2746857, win 2071, options [nop,nop,TS val 111674 ecr 337133,nop,nop,sack 2 {2755545:2765681}{2748305:2754097}], length 0
20:03:02.419155 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2771473:2772921, ack 1, win 1358, options [nop,nop,TS val 338977 ecr 111674], length 1448
20:03:02.423944 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2770025:2771473, ack 1, win 1358, options [nop,nop,TS val 338972 ecr 111662], length 1448
20:03:02.498673 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2754097, win 2015, options [nop,nop,TS val 111684 ecr 338343,nop,nop,sack 1 {2755545:2765681}], length 0
20:03:02.499015 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2772921:2774369, ack 1, win 1358, options [nop,nop,TS val 339057 ecr 111684], length 1448
20:03:02.508305 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2771473:2772921, ack 1, win 1358, options [nop,nop,TS val 338977 ecr 111674], length 1448
20:03:02.587727 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2754097, win 2036, options [nop,nop,TS val 111793 ecr 338343,nop,nop,sack 1 {2755545:2767129}], length 0
20:03:02.588080 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2774369:2775817, ack 1, win 1358, options [nop,nop,TS val 339146 ecr 111793], length 1448
20:03:02.600237 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2772921:2774369, ack 1, win 1358, options [nop,nop,TS val 339057 ecr 111684], length 1448
20:03:02.623530 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2774369:2775817, ack 1, win 1358, options [nop,nop,TS val 339146 ecr 111793], length 1448
20:03:02.798424 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2767129, win 2029, options [nop,nop,TS val 112091 ecr 338753], length 0
20:03:02.798781 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2775817:2777265, ack 1, win 1358, options [nop,nop,TS val 339357 ecr 112091], length 1448
20:03:02.805147 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2775817:2777265, ack 1, win 1358, options [nop,nop,TS val 339357 ecr 112091], length 1448
20:03:02.893101 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2768577, win 2071, options [nop,nop,TS val 112186 ecr 338856], length 0
20:03:02.893451 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2777265:2778713, ack 1, win 1358, options [nop,nop,TS val 339452 ecr 112186], length 1448
20:03:02.900330 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2777265:2778713, ack 1, win 1358, options [nop,nop,TS val 339452 ecr 112186], length 1448
20:03:02.995457 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2770025, win 2071, options [nop,nop,TS val 112268 ecr 338952], length 0
20:03:02.995752 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2778713:2780161, ack 1, win 1358, options [nop,nop,TS val 339554 ecr 112268], length 1448
20:03:02.995812 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2780161:2781609, ack 1, win 1358, options [nop,nop,TS val 339554 ecr 112268], length 1448
20:03:03.003262 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2778713:2780161, ack 1, win 1358, options [nop,nop,TS val 339554 ecr 112268], length 1448
20:03:03.095145 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2771473, win 2071, options [nop,nop,TS val 112281 ecr 338972], length 0
20:03:03.095490 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2781609:2783057, ack 1, win 1358, options [nop,nop,TS val 339654 ecr 112281], length 1448
20:03:03.098689 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2780161:2781609, ack 1, win 1358, options [nop,nop,TS val 339554 ecr 112268], length 1448
20:03:03.113119 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2772921, win 2071, options [nop,nop,TS val 112364 ecr 338977], length 0
20:03:03.113449 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2783057:2784505, ack 1, win 1358, options [nop,nop,TS val 339671 ecr 112364], length 1448
20:03:03.128915 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2781609:2783057, ack 1, win 1358, options [nop,nop,TS val 339654 ecr 112281], length 1448
20:03:03.197151 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2774369, win 2071, options [nop,nop,TS val 112397 ecr 339057], length 0
20:03:03.197485 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2784505:2785953, ack 1, win 1358, options [nop,nop,TS val 339756 ecr 112397], length 1448
20:03:03.203327 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2783057:2784505, ack 1, win 1358, options [nop,nop,TS val 339671 ecr 112364], length 1448
20:03:03.221233 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2784505:2785953, ack 1, win 1358, options [nop,nop,TS val 339756 ecr 112397], length 1448
20:03:03.308215 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2775817, win 2071, options [nop,nop,TS val 112489 ecr 339146], length 0
20:03:03.308483 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2785953:2787401, ack 1, win 1358, options [nop,nop,TS val 339866 ecr 112489], length 1448
20:03:03.313787 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2785953:2787401, ack 1, win 1358, options [nop,nop,TS val 339866 ecr 112489], length 1448
20:03:03.496813 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2777265, win 2071, options [nop,nop,TS val 112687 ecr 339357], length 0
20:03:03.497131 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2787401:2788849, ack 1, win 1358, options [nop,nop,TS val 340056 ecr 112687], length 1448
20:03:03.525785 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2787401:2788849, ack 1, win 1358, options [nop,nop,TS val 340056 ecr 112687], length 1448
20:03:03.692646 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2778713, win 2071, options [nop,nop,TS val 112793 ecr 339452], length 0
20:03:03.692982 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2788849:2790297, ack 1, win 1358, options [nop,nop,TS val 340251 ecr 112793], length 1448
20:03:03.703107 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2788849:2790297, ack 1, win 1358, options [nop,nop,TS val 340251 ecr 112793], length 1448
20:03:03.821988 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2780161, win 2071, options [nop,nop,TS val 112971 ecr 339554], length 0
20:03:03.822344 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2790297:2791745, ack 1, win 1358, options [nop,nop,TS val 340381 ecr 112971], length 1448
20:03:03.900847 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2790297:2791745, ack 1, win 1358, options [nop,nop,TS val 340381 ecr 112971], length 1448
20:03:03.908527 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2781609, win 2071, options [nop,nop,TS val 112983 ecr 339554], length 0
20:03:03.908862 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2791745:2793193, ack 1, win 1358, options [nop,nop,TS val 340467 ecr 112983], length 1448
20:03:03.908947 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2793193:2794641, ack 1, win 1358, options [nop,nop,TS val 340467 ecr 112983], length 1448
20:03:03.924375 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2791745:2793193, ack 1, win 1358, options [nop,nop,TS val 340467 ecr 112983], length 1448
20:03:04.000172 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2783057, win 2071, options [nop,nop,TS val 113094 ecr 339654], length 0
20:03:04.000495 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2794641:2796089, ack 1, win 1358, options [nop,nop,TS val 340559 ecr 113094], length 1448
20:03:04.016330 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2793193:2794641, ack 1, win 1358, options [nop,nop,TS val 340467 ecr 112983], length 1448
20:03:04.029629 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2784505, win 2071, options [nop,nop,TS val 113181 ecr 339671], length 0
20:03:04.029949 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2796089:2797537, ack 1, win 1358, options [nop,nop,TS val 340588 ecr 113181], length 1448
20:03:04.112217 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2794641:2796089, ack 1, win 1358, options [nop,nop,TS val 340559 ecr 113094], length 1448
20:03:04.133681 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2785953, win 2071, options [nop,nop,TS val 113292 ecr 339756], length 0
20:03:04.134037 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2797537:2798985, ack 1, win 1358, options [nop,nop,TS val 340692 ecr 113292], length 1448
20:03:04.138884 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2796089:2797537, ack 1, win 1358, options [nop,nop,TS val 340588 ecr 113181], length 1448
20:03:04.205389 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2787401, win 2071, options [nop,nop,TS val 113374 ecr 339866], length 0
20:03:04.205727 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2798985:2800433, ack 1, win 1358, options [nop,nop,TS val 340764 ecr 113374], length 1448
20:03:04.221599 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2797537:2798985, ack 1, win 1358, options [nop,nop,TS val 340692 ecr 113292], length 1448
20:03:04.313809 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2798985:2800433, ack 1, win 1358, options [nop,nop,TS val 340764 ecr 113374], length 1448
20:03:04.404621 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2788849, win 2071, options [nop,nop,TS val 113631 ecr 340056], length 0
20:03:04.404958 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2800433:2801881, ack 1, win 1358, options [nop,nop,TS val 340963 ecr 113631], length 1448
20:03:04.412108 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2800433:2801881, ack 1, win 1358, options [nop,nop,TS val 340963 ecr 113631], length 1448
20:03:04.514140 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2790297, win 2071, options [nop,nop,TS val 113768 ecr 340251], length 0
20:03:04.514445 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2801881:2803329, ack 1, win 1358, options [nop,nop,TS val 341073 ecr 113768], length 1448
20:03:04.523261 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2801881:2803329, ack 1, win 1358, options [nop,nop,TS val 341073 ecr 113768], length 1448
20:03:04.615385 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2793193, win 2071, options [nop,nop,TS val 113881 ecr 340381], length 0
20:03:04.615680 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2803329:2804777, ack 1, win 1358, options [nop,nop,TS val 341174 ecr 113881], length 1448
20:03:04.615843 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2804777:2806225, ack 1, win 1358, options [nop,nop,TS val 341174 ecr 113881], length 1448
20:03:04.625014 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2803329:2804777, ack 1, win 1358, options [nop,nop,TS val 341174 ecr 113881], length 1448
20:03:04.710439 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2804777:2806225, ack 1, win 1358, options [nop,nop,TS val 341174 ecr 113881], length 1448
20:03:04.723091 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2796089, win 2071, options [nop,nop,TS val 114002 ecr 340467], length 0
20:03:04.723456 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2806225:2807673, ack 1, win 1358, options [nop,nop,TS val 341282 ecr 114002], length 1448
20:03:04.723518 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2807673:2809121, ack 1, win 1358, options [nop,nop,TS val 341282 ecr 114002], length 1448
20:03:04.731023 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2806225:2807673, ack 1, win 1358, options [nop,nop,TS val 341282 ecr 114002], length 1448
20:03:04.817358 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2807673:2809121, ack 1, win 1358, options [nop,nop,TS val 341282 ecr 114002], length 1448
20:03:04.825108 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2798985, win 2071, options [nop,nop,TS val 114107 ecr 340588], length 0
20:03:04.825452 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2809121:2810569, ack 1, win 1358, options [nop,nop,TS val 341384 ecr 114107], length 1448
20:03:04.825571 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2810569:2812017, ack 1, win 1358, options [nop,nop,TS val 341384 ecr 114107], length 1448
20:03:04.911249 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2809121:2810569, ack 1, win 1358, options [nop,nop,TS val 341384 ecr 114107], length 1448
20:03:04.932347 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2810569:2812017, ack 1, win 1358, options [nop,nop,TS val 341384 ecr 114107], length 1448
20:03:05.002912 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2801881, win 2071, options [nop,nop,TS val 114282 ecr 340764], length 0
20:03:05.003276 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2812017:2813465, ack 1, win 1358, options [nop,nop,TS val 341562 ecr 114282], length 1448
20:03:05.003376 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2813465:2814913, ack 1, win 1358, options [nop,nop,TS val 341562 ecr 114282], length 1448
20:03:05.023817 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2812017:2813465, ack 1, win 1358, options [nop,nop,TS val 341562 ecr 114282], length 1448
20:03:05.106270 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2813465:2814913, ack 1, win 1358, options [nop,nop,TS val 341562 ecr 114282], length 1448
20:03:05.229077 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2804777, win 2071, options [nop,nop,TS val 114494 ecr 341073], length 0
20:03:05.229408 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2814913:2816361, ack 1, win 1358, options [nop,nop,TS val 341788 ecr 114494], length 1448
20:03:05.229474 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2816361:2817809, ack 1, win 1358, options [nop,nop,TS val 341788 ecr 114494], length 1448
20:03:05.312318 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2814913:2816361, ack 1, win 1358, options [nop,nop,TS val 341788 ecr 114494], length 1448
20:03:05.322302 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2816361:2817809, ack 1, win 1358, options [nop,nop,TS val 341788 ecr 114494], length 1448
20:03:05.332659 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2807673, win 2071, options [nop,nop,TS val 114613 ecr 341174], length 0
20:03:05.332963 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2817809:2819257, ack 1, win 1358, options [nop,nop,TS val 341891 ecr 114613], length 1448
20:03:05.333122 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2819257:2820705, ack 1, win 1358, options [nop,nop,TS val 341891 ecr 114613], length 1448
20:03:05.409464 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2817809:2819257, ack 1, win 1358, options [nop,nop,TS val 341891 ecr 114613], length 1448
20:03:05.425440 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2810569, win 2071, options [nop,nop,TS val 114701 ecr 341282], length 0
20:03:05.425788 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2820705:2822153, ack 1, win 1358, options [nop,nop,TS val 341984 ecr 114701], length 1448
20:03:05.425917 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2822153:2823601, ack 1, win 1358, options [nop,nop,TS val 341984 ecr 114701], length 1448
20:03:05.433892 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2819257:2820705, ack 1, win 1358, options [nop,nop,TS val 341891 ecr 114613], length 1448
20:03:05.530928 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2820705:2822153, ack 1, win 1358, options [nop,nop,TS val 341984 ecr 114701], length 1448
20:03:05.541822 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2822153:2823601, ack 1, win 1358, options [nop,nop,TS val 341984 ecr 114701], length 1448
20:03:05.627377 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2813465, win 2071, options [nop,nop,TS val 114832 ecr 341384], length 0
20:03:05.627669 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2823601:2825049, ack 1, win 1358, options [nop,nop,TS val 342186 ecr 114832], length 1448
20:03:05.627733 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2825049:2826497, ack 1, win 1358, options [nop,nop,TS val 342186 ecr 114832], length 1448
20:03:05.627872 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2826497:2827945, ack 1, win 1358, options [nop,nop,TS val 342186 ecr 114832], length 1448
20:03:05.709988 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2823601:2825049, ack 1, win 1358, options [nop,nop,TS val 342186 ecr 114832], length 1448
20:03:05.750365 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2825049:2826497, ack 1, win 1358, options [nop,nop,TS val 342186 ecr 114832], length 1448
20:03:05.825743 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2826497:2827945, ack 1, win 1358, options [nop,nop,TS val 342186 ecr 114832], length 1448
20:03:05.930976 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2814913, win 2071, options [nop,nop,TS val 115056 ecr 341562], length 0
20:03:05.931330 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2827945:2829393, ack 1, win 1358, options [nop,nop,TS val 342490 ecr 115056], length 1448
20:03:05.939248 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2827945:2829393, ack 1, win 1358, options [nop,nop,TS val 342490 ecr 115056], length 1448
20:03:06.112375 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2817809, win 2071, options [nop,nop,TS val 115300 ecr 341788], length 0
20:03:06.112709 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2829393:2830841, ack 1, win 1358, options [nop,nop,TS val 342671 ecr 115300], length 1448
20:03:06.112774 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2830841:2832289, ack 1, win 1358, options [nop,nop,TS val 342671 ecr 115300], length 1448
20:03:06.130145 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2829393:2830841, ack 1, win 1358, options [nop,nop,TS val 342671 ecr 115300], length 1448
20:03:06.142343 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2830841:2832289, ack 1, win 1358, options [nop,nop,TS val 342671 ecr 115300], length 1448
20:03:06.232738 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2820705, win 2071, options [nop,nop,TS val 115482 ecr 341891], length 0
20:03:06.233095 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2832289:2833737, ack 1, win 1358, options [nop,nop,TS val 342791 ecr 115482], length 1448
20:03:06.233199 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2833737:2835185, ack 1, win 1358, options [nop,nop,TS val 342791 ecr 115482], length 1448
20:03:06.233346 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2835185:2836633, ack 1, win 1358, options [nop,nop,TS val 342791 ecr 115482], length 1448
20:03:06.243573 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2832289:2833737, ack 1, win 1358, options [nop,nop,TS val 342791 ecr 115482], length 1448
20:03:06.323858 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2833737:2835185, ack 1, win 1358, options [nop,nop,TS val 342791 ecr 115482], length 1448
20:03:06.338345 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2823601, win 2071, options [nop,nop,TS val 115589 ecr 341984], length 0
20:03:06.338703 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2836633:2838081, ack 1, win 1358, options [nop,nop,TS val 342897 ecr 115589], length 1448
20:03:06.338771 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2838081:2839529, ack 1, win 1358, options [nop,nop,TS val 342897 ecr 115589], length 1448
20:03:06.343713 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2835185:2836633, ack 1, win 1358, options [nop,nop,TS val 342791 ecr 115482], length 1448
20:03:06.419185 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2825049, win 2071, options [nop,nop,TS val 115688 ecr 342186], length 0
20:03:06.419491 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2839529:2840977, ack 1, win 1358, options [nop,nop,TS val 342978 ecr 115688], length 1448
20:03:06.419555 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2840977:2842425, ack 1, win 1358, options [nop,nop,TS val 342978 ecr 115688], length 1448
20:03:06.441303 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2836633:2838081, ack 1, win 1358, options [nop,nop,TS val 342897 ecr 115589], length 1448
20:03:06.517195 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2838081:2839529, ack 1, win 1358, options [nop,nop,TS val 342897 ecr 115589], length 1448
20:03:06.523248 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2827945, win 2071, options [nop,nop,TS val 115725 ecr 342186], length 0
20:03:06.523541 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2842425:2843873, ack 1, win 1358, options [nop,nop,TS val 343082 ecr 115725], length 1448
20:03:06.523607 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2843873:2845321, ack 1, win 1358, options [nop,nop,TS val 343082 ecr 115725], length 1448
20:03:06.556541 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2839529:2840977, ack 1, win 1358, options [nop,nop,TS val 342978 ecr 115688], length 1448
20:03:06.634235 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2840977:2842425, ack 1, win 1358, options [nop,nop,TS val 342978 ecr 115688], length 1448
20:03:06.716898 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2842425:2843873, ack 1, win 1358, options [nop,nop,TS val 343082 ecr 115725], length 1448
20:03:06.733533 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2830841, win 2071, options [nop,nop,TS val 116008 ecr 342490], length 0
20:03:06.733788 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2845321:2846769, ack 1, win 1358, options [nop,nop,TS val 343292 ecr 116008], length 1448
20:03:06.733848 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2846769:2848217, ack 1, win 1358, options [nop,nop,TS val 343292 ecr 116008], length 1448
20:03:06.733988 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2848217:2849665, ack 1, win 1358, options [nop,nop,TS val 343292 ecr 116008], length 1448
20:03:06.744966 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2843873:2845321, ack 1, win 1358, options [nop,nop,TS val 343082 ecr 115725], length 1448
20:03:06.819505 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2845321:2846769, ack 1, win 1358, options [nop,nop,TS val 343292 ecr 116008], length 1448
20:03:06.837295 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2846769:2848217, ack 1, win 1358, options [nop,nop,TS val 343292 ecr 116008], length 1448
20:03:06.845770 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2833737, win 2071, options [nop,nop,TS val 116126 ecr 342671], length 0
20:03:06.846151 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2849665:2851113, ack 1, win 1358, options [nop,nop,TS val 343405 ecr 116126], length 1448
20:03:06.846214 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2851113:2852561, ack 1, win 1358, options [nop,nop,TS val 343405 ecr 116126], length 1448
20:03:06.922838 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2848217:2849665, ack 1, win 1358, options [nop,nop,TS val 343292 ecr 116008], length 1448
20:03:06.947402 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2849665:2851113, ack 1, win 1358, options [nop,nop,TS val 343405 ecr 116126], length 1448
20:03:07.023683 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2851113:2852561, ack 1, win 1358, options [nop,nop,TS val 343405 ecr 116126], length 1448
20:03:07.040991 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 2836633, win 2071, options [nop,nop,TS val 116220 ecr 342791], length 0
20:03:07.041345 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2852561:2854009, ack 1, win 1358, options [nop,nop,TS val 343600 ecr 116220], length 1448
20:03:07.041412 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2854009:2855457, ack 1, win 1358, options [nop,nop,TS val 343600 ecr 116220], length 1448
20:03:07.041554 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2855457:2856905, ack 1, win 1358, options [nop,nop,TS val 343600 ecr 116220], length 1448
20:03:07.041651 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2856905:2858353, ack 1, win 1358, options [nop,nop,TS val 343600 ecr 116220], length 1448
20:03:07.111350 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 2852561:2854009, ack 1, win 1358, options [nop,nop,TS val 343600 ecr 116220], length 1448
